,ルーツ,アーツ名,種別,最大Lv,タイミング,判定値,対象,射程,コスト,効果,ルーツ
元々人間だったが、人間の枠を超えた存在に変化したものたちをあらわすブラッド。,,,,,,,,,,,
,イレギュラー,血統覚醒,魔獣,1,効果参照,自動成功,自身,なし,1,イレギュラーのアーツによってコピーしたアーツと同時に使用する。そのアーツが「種別：攻撃」なら与えるダメージ、「種別：防御」なら軽減するダメージ、「種別：回復」なら回復する【FP】を+1D6する。,ｲﾚｷﾞｭﾗｰ
,イレギュラー,混血児,コピー,効果参照,効果参照,効果参照,効果参照,効果参照,効果参照,他のブラッドまたはルーツから「タイミング：常時」以外のアーツひとつをコピーする。コピーしたアーツのコストは+１される。また、あなたはそのブラッドの種別をもつものとして扱われる。,ｲﾚｷﾞｭﾗｰ
,イレギュラー,第二人格,なし,1,判定直後,自動成功,自身,なし,2,あなたが行なった判定を振り直す。1ラウンドに1回まで。,ｲﾚｷﾞｭﾗｰ
,イレギュラー,特異知覚,なし,1,判定直前,自動成功,自身,なし,1,あなたが行なう判定の達成値に+2する。使用後あなたは【FP】を4点失う,ｲﾚｷﾞｭﾗｰ
,イレギュラー,特殊体質,回復,1,イニシアチブ,自動成功,自身,なし,2,暴走と翻弄を除く、あなたが受けているBSひとつを回復する。重圧を受けていても使用できる。,ｲﾚｷﾞｭﾗｰ
,イレギュラー,特化存在,なし,1,マイナー,自動成功,自身,なし,2,取得時に、白兵攻撃、射撃攻撃、特殊攻撃のいずれかを選択する。そのメインプロセスの間、選択した攻撃のDRに+【感情B】する,ｲﾚｷﾞｭﾗｰ
,イレギュラー,魔身浮上,魔獣,1,常時,自動成功,自身,なし,0,取得時に【基本能力値】か【戦闘能力値】からひとつ選択する。あなたの人間性が20以下の間、選択した能力値を使用した判定の達成値に+2,ｲﾚｷﾞｭﾗｰ
,イレギュラー,内なる獣,純血、コピー,効果参照,効果参照,効果参照,効果参照,効果参照,効果参照,他のブラッド、またはルーツから「タイミング：常時」以外の「種別：純血」のアーツひとつをコピーする。コピーしたアーツのコストは+3され、魔獣化している間のみ使用できる。また、あなたはそのブラッドの種別を持つものとして扱われる。,ｲﾚｷﾞｭﾗｰ
DE,イレギュラー,ウェポンルーラー,なし,1,常時,自動成功,自身,なし,2,あなたはダメージの基準と属性が【肉体】の武器を、ダメージの基準と属性を【感情】に変更して攻撃力を算出できる。また、一定以上の【肉体】が装備などの条件として設定されている場合、その【肉体】を【感情】に変更して効果を計算できる。,ｲﾚｷﾞｭﾗｰ
DE,イレギュラー,例外種,なし,1,常時,自動成功,自身,なし,3,あなたの【基本能力値】からふたつ選択する。それぞれの数値を入れ替える。成長や他のアーツによる修正などを適用した最終的な値を入れ替えること(このアーツを取得後の成長なども含む)。【FP】も再計算する。,ｲﾚｷﾞｭﾗｰ
DO,イレギュラー,アポートアザー,なし,3,イニシアチブ,自動成功,単体,シーン,4,対象にあなたのエンゲージまで通常移動または離脱移動を行なわせる。対象が効果を望まない場合、対象と【感情】同士で対決を行なってあなたが勝利すれば効果が適用される。1シーンにLv回まで使用できる。,ｲﾚｷﾞｭﾗｰ
DO,イレギュラー,異端の悲哀,魔獣,1,常時,自動成功,自身,なし,3,あなたと同じエンゲージに味方が存在しない場合、あなたが行なう攻撃のダメージに+[10-【社会】]する。誰が味方かはGMが判断する。,ｲﾚｷﾞｭﾗｰ
DO,イレギュラー,狂おしき衝動,なし,1,常時,自動成功,自身,なし,4,あなたがキャラクター作成時に得たエゴから獲得した罪を「◆達成値増大」に使用した場合、達成値にさらに2D6、「◆ダメージ増強」に使用した場合、ダメージをさらに+3D6する(他人に適用した場合も有効)。人間性の回復までにそのエゴから罪を獲得しなかった場合、奈落堕ちする。,ｲﾚｷﾞｭﾗｰ
DO,イレギュラー,こいつで勝負だ,なし,5,セットアップ,効果参照,単体,シーン,3,使用時にあなたは任意の【基本能力値】ひとつを選択肢、判定値に+Lvして、対象の同じ【基本能力値】と対決を行なう。敗北した側は、重圧と[翻弄：勝利した側]を受ける。,ｲﾚｷﾞｭﾗｰ
DO,イレギュラー,死の舞踏,魔獣,1,ムーブ,自動成功,自身,なし,3,そのメインプロセスの間、あなたが行なう攻撃を「対象：範囲」に変更する。「種別：白兵」以外の武器を装備していない場合、さらにあなたは即座に通常移動を行なってもよい。,ｲﾚｷﾞｭﾗｰ
