,ルーツ,アーツ名,種別,最大Lv,タイミング,判定値,対象,射程,コスト,効果,ルーツ
地球ドミニオンの外からやってきた来訪者たち。いわゆる宇宙人をあらわすブラッド。,,,,,,,,,,,
,エトランゼ,宇宙的知性,なし,1,判定直後,自動成功,単体,シーン,2,あなた以外の対象が行なった判定を振り直させる。1ラウンドに1回まで使用できる。,ｴﾄﾗﾝｾﾞ
,エトランゼ,銀河大百科事典,なし,1,判定直前,自動成功,自身,なし,1,あなたは情報収集判定を【技術】で行なえる。,ｴﾄﾗﾝｾﾞ
,エトランゼ,空間転移,なし,3,イニシアチブ,自動成功,自身,なし,2,あなたは即座に通常移動か離脱移動を行なう。封鎖から離脱する場合、【行動値】対決の達成値に+3する。,ｴﾄﾗﾝｾﾞ
,エトランゼ,形態変化,魔獣,3,マイナー,自動成功,自身,なし,2,使用時に、白兵攻撃のダメージ、射撃攻撃のダメージ、A値からひとつ選択する。そのシーンの間選択した数値を+[Lv×3]する。,ｴﾄﾗﾝｾﾞ
,エトランゼ,テクニカルサポート,支援,3,DR直前,自動成功,単体,シーン,2,対象が行なうDRに+[【技術B】+1D6]する。1ラウンドにLv回まで使用できる。,ｴﾄﾗﾝｾﾞ
,エトランゼ,ハイパースキャン,なし,1,マイナー,自動成功,自身,なし,1,そのメインプロセスの間、あなたが行なう命中判定の達成値を+2する。,ｴﾄﾗﾝｾﾞ
,エトランゼ,メタモルフォーゼ,なし,1,マイナー,自動成功,自身,なし,2,そのシーン中、あなたの外見を任意に変更できる。見破ろうとする場合、【技術】同士による対決を行なうこと。戦闘中に使用した場合、あなたは隠密状態となる。この時、敵とエンゲージ中でも隠密状態になれる。,ｴﾄﾗﾝｾﾞ
,エトランゼ,もうひとつの命,回復、純血,1,メジャー,自動成功,単体,シーン,愛,対象のかりそめの死を回復し、【FP】を1点まで回復する。1シーンに1回まで使用できる。このアーツはいかなる効果でも対象を単体から変更できない。,ｴﾄﾗﾝｾﾞ
DO,エトランゼ,感情収穫者,魔獣,1,効果参照,自動成功,単体,シーン,3,対象がアーツを使用する直前に使用し、その効果に+[対象の【感情B】]する。あなたが寄生体か増殖体のルーツまたは《宿主》を持つ場合、自身を対象にした場合の効果に+2。,ｴﾄﾗﾝｾﾞ
DO,エトランゼ,大いなる意志,魔獣,3,効果参照,自動成功,自身,なし,3,効果文中に【技術B】と書かれたほかのアーツと同時に使用する。【技術B】を【技術】に読み替えてその効果を計算する。トゥルーブラッドの場合は[【技術】+2]に読み替える。1シーンにLv回まで使用できる。,ｴﾄﾗﾝｾﾞ
DO,エトランゼ,奇妙な好物,回復,1,マイナー,自動成功,単体,シーン,3,同意した対象は3点以下の任意の財産点を消費する。あなたの【FP】を[消費した財産点×2]D6点回復し、そのラウンド中にあなたが行なう判定の達成値に+1する。,ｴﾄﾗﾝｾﾞ
DO,エトランゼ,荒唐無稽,なし,3,効果参照,自動成功,自身,なし,2,あなたが迫害状態を受けるか、あなたのことを調べるような情報収集判定が行なわれた直後に使用する。迫害状態を打ち消し、情報収集判定なら失敗させる。あなたがシーンに登場していなくても使用でき、1シナリオにLv回まで使用できる。,ｴﾄﾗﾝｾﾞ
DO,エトランゼ,コスモガジェット,ア,3,マイナー,自動成功,自身,なし,3,あなたが取得可能なアイテムから、常備化に必要な経験点が[Lv×15+5]点以下のひとつを取得する。即座に装備または交換してもよい。このアイテムはシナリオ終了時に失われる。1シナリオに1回まで使用できる。,ｴﾄﾗﾝｾﾞ
DO,エトランゼ,天よりの砲火,支援、魔獣,3,効果参照,自動成功,単体,シーン,3,同意した対象が攻撃を行なう直前に使用する。その攻撃を「射程：シーン」に変更し、そのダメージに+(Lv)D6する。1ラウンドに1回まで使用できる。,ｴﾄﾗﾝｾﾞ
DO,エトランゼ,分体活動,なし,1,効果参照,自動成功,自身,なし,3,あなたのシーン登場時に使用し、あなたの代わりに分体を登場させる。(登場時の人間性は通常どおり減少)。分体はあなたとあらゆるデータ(アーツやアイテム、その使用回数も含む)や人間性を共有し、【FP】最大値は10となり、愛と罪の効果を使用できない。【FP】が0になるかあなたがシーンに登場すると分体はアイテムごと消減する。1シーン1回まで。,ｴﾄﾗﾝｾﾞ
DO,エトランゼ,彼方への門,純血,1,効果参照,自動成功,単体,シーン,罪,いつでも使用できる。対象は通常移動か離脱移動を行なう。この時、封鎖や《接近困難》(『BBT』P233)などの移動を妨害するあらゆる効果を無視する。リアクションの直後に使用した場合、さらにそのリアクションに勝利したものとして扱う。1シナリオに1回まで使用できる。,ｴﾄﾗﾝｾﾞ
寄生体 - 人間の精神に寄生することで情報を得るものたちをあらわすルーツ。物理的な実体を持たない。,,,,,,,,,,,
,寄生体,ふたつの頭脳,自動、魔獣,3,効果参照,自動成功,自身,なし,2,「対象：自身」以外のアーツと同時に使用する。そのアーツの対象を2体に変更する。1ラウンドにLv回まで使用できる。,寄生体
,寄生体,攻性触手,魔獣、ア,1,常時,自動成功,自身,なし,0,《魔獣化》中、あなたは以下の白兵武器を装備する。あなたの《魔獣化》のコストは+1される。　種別：武器(白兵)　命中：+0　G値：+6　攻撃力：【技術】+3+1D6　行動値：+0　射程シーン,寄生体
,寄生体,デュアルユニゾン,魔獣,1,効果参照,自動成功,自身,なし,2,《ふたつの頭脳》と同時に使用する。その効果を受けた「種別：回復」「種別：支援」「種別：防御」のアーツの効果をすべて+【技術B】する。,寄生体
,寄生体,ナーヴジャック,魔獣、攻撃,1,メジャー,【技術】,単体,至近,3,対象に、DRの代わりに放心と重圧を与える特殊攻撃を行なう。対象は【技術】でドッジを行なえる。この時、放心と重圧を与える代わりに質問をひとつ行なってもよい。この質問には正直に答えなくてはならない。,寄生体
,寄生体,便利な指,魔獣,1,判定直前,自動成功,自身,なし,1,あなたが行なう【技術】か【社会】による判定の達成値に+2する。,寄生体
,寄生体,防御触手,防御、魔獣,5,効果参照,自動成功,単体,シーン,2,対象がガードを行なう際に使用する。そのDRの間、対象のG値を+[Lv×3]する。1ラウンドに1回まで使用できる。,寄生体
,寄生体,マシンジャック,20,1,判定直前,自動成功,単体,シーン,4,対象が行なう判定の達成値を-【技術B】する。対象が「種別：機械」を持つ場合、さらに対象に重圧と邪毒(3)を与える。1シーンに1回まで使用できる。,寄生体
,寄生体,ひとつの答え,純血,3,判定直後,自動成功,単体,シーン,4,対象が行なった判定の達成値を+【技術B】する。1シナリオにLv回まで使用できる。,寄生体
DE,寄生体,オーバーブースト,魔獣,3,マイナー,自動成功,自身,なし,3,そのメインプロセスの間、あなたが行なう攻撃のダメージを+(Lv+1)D6する。使用後、あなたは【FP】を[Lv×2+2]点失う。,寄生体
DE,寄生体,情報捕食,回復,1,判定直後,自動成功,自身,なし,3,あなたが情報収集判定を行なった直後に使用する。[その判定の達成値]点の【FP】を回復し、そのシナリオの間、あなたが行なう判定の達成値を+1する。1シナリオに1回まで使用でき、その判定でアクシデントが発生した場合は使用できない。,寄生体
DO,寄生体,情報寄生,なし,5,効果参照,自動成功,単体,シーン,2,あなたが白兵攻撃によって対象に1点でもダメージを与えた直後に使用する。そのシナリオ中にあなたが行なう、対象に関わる(とGMが判断した)情報収集判定の達成値に+3し、対象の居場所を感知できる。1シナリオにLv回まで使用できる。,寄生体
DO,寄生体,侵食,攻撃、回復,3,メジャー,【白兵】,単体,武器,3,対象に白兵攻撃を行なう。この攻撃に対しては、対象のG値を-3(最低0)してダメージを算出し、1点でもダメージを与えた場合あなたの【FP】を[【技術B】+(Lv)D6]点回復する。,寄生体
DO,寄生体,美味なる罪,なし,3,効果参照,自動成功,単体,シーン,2,あなた以外の対象が罪を獲得した直後に使用する。あなたの【FP】を10点回復し、そのシナリオの間、【技術】を+1する(【FP】は変化しない)。1シーンに1回まで使用でき、複数回使用した場合、この効果はLv回まで重複する。,寄生体
DO,寄生体,ラプラスの魔,魔獣,1,効果参照,【技術】,単体,シーン,罪,対象が判定を行なった直後に使用する。その達成値を目標値にこのアーツで判定を行ない、成功した場合、対象の判定は失敗となる。あなたが未行動でなければ使用できず、使用後は行動済みとなる。1シナリオに1回まで使用できる。,寄生体
DO,寄生体,寄生支配,魔獣、0,1,効果参照,自動成功,効果参照,シーン,9,あなたの《情報寄生》の効果を受けているキャラクターひとりが、メジャーアクションを行なう直前に使用する。そのアクションの対象を、そのキャラクターではなくあなたが任意に選択する。1シナリオに1回のみ使用でき、対象は【FP】30点失うことでこの効果を打ち消せる。,寄生体
執行者 - 銀河連邦から派遣されてきたエージェントをあらわすルーツ。正義のヒーロー。,,,,,,,,,,,
,執行者,銀河司法官,自動,1,セットアップ,自動成功,単体,シーン,2,そのシーンの間、対象が行なうドッジの達成値を-2する。,執行者
,執行者,宇宙からの上司,なし,5,イニシアチブ,自動成功,単体,シーン,3,対象に束縛を与える。対象の【技術】が[あなたの【技術】+3]以下でなければ効果がない。1ラウンドに1回、1シナリオにLv回まで使用できる。,執行者
,執行者,宇宙の果てまで運び去る,魔獣,1,メジャー,自動成功,効果参照,至近,1,危険物や爆発物、戦闘意欲を失ったNPCなどを、安全な場所まで運び去り、被害が出ないように放棄あるいは放逐することができる。抵抗する意志のある対象には効果がない。具体的な効果はGMが決定すること。GMが認めれば、故郷のドミニオンに対象のNPCを安全に帰すことができるなどとしてもよい。1シナリオに1回まで使用できる。,執行者
,執行者,コスモアクション,なし,1,マイナー,自動成功,自身,なし,2,そのメインプロセスの間、あなたが行なう攻撃のDRに+【技術B】する。,執行者
,執行者,ジャイアントバトル,魔獣,3,解放状態,自動成功,自身,なし,5,あなたが解放状態になった直後に使用し、クライマックスフェイズにのみ使用できる。そのシーンの間、あなたの【FP】とFP最大値を+[Lv×10+10]し、攻撃のダメージを+2D6する。効果中、あなたはドッジを行なえず、「種別：巨大」として扱われる。,執行者
,執行者,プラズマスラッシュ,攻撃、魔獣,1,メジャー,【技術】,単体,武器,2,対象に執行者装備を使用した白兵攻撃を行なう。この時、命中判定を【技術】で行ない、対象が《銀河司法官》の効果を受けている場合、与えるダメージに【技術B】する。,執行者
,執行者,シュプリームブレイザー,20、攻撃、魔獣,1,メジャー,【技術】,単体,シーン,5,対象に[【技術】+10+3D6]点のダメージを与える特殊攻撃を行なう。対象はドッジを行えない。《ジャイアントバトル》の効果中のみ使用でき、1シナリオに1回まで使用できる。,執行者
,執行者,ファイナルクラッシュ,純血、攻撃、魔獣,1,メジャー,【白兵】【射撃】,単体,武器,愛,対象に執行者装備を使用した攻撃を行なう。この時、命中判定の達成値に+2、ダメージに+20する。1シナリオに1回まで使用できる。,執行者
DE,執行者,ジャッジメントコール,支援,3,効果参照,自動成功,自身,なし,3,《銀河司法官》と同時に使用する。その効果を受けている対象が、次に攻撃から受けるダメージを+10する。この効果は1度でも発揮されるか、シーンが終了するまで持続する。1シナリオにLv回まで使用できる。,執行者
DE,執行者,短き変身,魔獣,1,常時,自動成功,自身,なし,2,《魔獣化》の効果中、あなたが【戦闘能力値】で行なう判定の達成値に+2し、あなたはクリンナッププロセスのたびに人間性を1D6点失う。,執行者
DO,執行者,獅子の瞳,魔獣,3,常時,自動成功,自身,なし,0,《魔獣化》中、あなたの【白兵値】を+Lvし、素手の攻撃力を+【技術B】する。あなたの《魔獣化》コストは+Lvされる。,執行者
DO,執行者,瞬間変身,なし,1,効果参照,自動成功,自身,なし,2,あなたが《魔獣化》を使用した直後に使用する。あなたは即座に、同じタイミングのアーツまたはアイテムひとつを使用できる。,執行者
DO,執行者,不屈の闘志,防御,5,DR直後,自動成功,自身,なし,3,あなたが受けるダメージを-[【技術】+(Lv)D6]し、あなたは狼狽を受ける。1ラウンドに1回まで使用でき、あなたが「種別：巨大」なら効果にさらに+1D6する。,執行者
DO,執行者,ヨロシク勇気,なし,1,メジャー,効果参照,自身,なし,2,あなたは【肉体】または【技術】で難易度12の判定を行なう。成功した場合、あなたの財産点を+【技術】する。1シナリオに1回まで使用できる。,執行者
DO,執行者,光の戦士,魔獣、0,1,マイナー,自動成功,自身,なし,愛,そのメインプロセスの間、あなたが行なう攻撃のダメージを+[あなたが持つ絆の数×5]し、さらにシーン内の味方すべての恐怖を回復する。1シナリオに1回まで使用できる。,執行者
増殖体 - 不定形の宇宙生命体をあらわすルーツ。,,,,,,,,,,,
,増殖体,バイオアーマー,自動、魔獣、ア,1,常時,自動成功,自身,なし,0,《魔獣化》中、あなたは常に以下の防具を装備する。装備していた防具は所持品となる。あなたの《魔獣化》コストは+2される。　名称：生体装甲　種別：防具　ドッジ：0　A値：【肉体B】　行動値：0　購入：-/-,増殖体
,増殖体,生体兵装,攻撃、魔獣,3,メジャー,【技術】,範囲,遠隔,3,対象に[【技術】+(Lv)D6]点のダメージを与える特殊攻撃を行なう。対象は【技術】でドッジを行なう。生体装甲を装備中のみ使用できる。,増殖体
,増殖体,グラビティバリア,防御、魔獣,3,DR直後,自動成功,範囲,至近,3,対象が受けるダメージを-[【肉体】+1D6]する。生体装甲を装備中、1シーンにLv回まで使用できる。,増殖体
,増殖体,増殖復元,回復、魔獣,5,ムーブ,自動成功,自身,なし,2,あなたの【FP】を[【肉体】+(Lv×2)D6]点回復し、BSひとつを回復する。1ラウンドに1回まで使用できる。,増殖体
,増殖体,融合進化,コピー、魔獣,1,効果参照,自動成功,単体,シーン,5,対象が「タイミング：常時」以外のアーツひとつを使用した直後に使用する。そのシナリオの間、そのアーツをコピーし、あなたが取得しているものとして使用できる。アーツのLvは1となる。コピーしたアーツはコストに+1され、生体装甲を装備中のみ使用できる。1シナリオに1回まで使用できる。,増殖体
,増殖体,レゾナンスアーム,魔獣,1,常時,自動成功,自身,なし,3,生体装甲を装備中、あなたの素手のダメージを[【肉体】+2D6]に変更し、攻撃の対象のA値を0として扱う。,増殖体
,増殖体,究極破壊砲,20、攻撃、魔獣,1,メジャー,【技術】,単体,シーン,6,対象に[【肉体】+10+4D6]点のダメージを与える特殊攻撃を行なう。対象は【技術】でドッジを行なう。生体装甲を装備中、1シナリオに1回まで使用でき、あなたが待機を行なったラウンドにしか使用できない。,増殖体
,増殖体,究極進化,純血、魔獣,1,解放状態,自動成功,自身,なし,4,あなたが解放状態となった直後に使用する。そのシーンの間、あなたが生体装甲を装備して行なうあらゆる判定の達成値に+2し、攻撃のダメージに+【技術B】する。,増殖体
DE,増殖体,装甲爆裂,攻撃、魔獣,1,メジャー,【肉体】,範囲,至近,5,対象に[【肉体】+生体装甲のA値×3]のダメージを与える白兵攻撃を行なう。この攻撃に対してはガードを行なえない。生体装甲を装備中のみ使用でき、使用後、生体装甲のA値をそのシーン中0として扱う。1シーンに1回まで使用できる。,増殖体
DE,増殖体,バイオブースト,魔獣,3,常時,自動成功,自身,なし,3,生体装甲を装備中、あなたの【肉体】を+2し(【FP】は変化しない)、あなたが行なう命中判定の達成値に+[Lv+1]する。,増殖体
DO,増殖体,神秘の超甲,ア,5,常時,自動成功,自身,なし,2,あなたが装備する生体装甲のA値と、生体装甲を装備中の素手のG値を+[Lv+1]する。,増殖体
DO,増殖体,戦友たる鎧,魔獣,1,常時,自動成功,自身,なし,2,生体装甲を装備中、あなたは暴走を受けず、《究極進化》の効果中にあなたが行なうメジャーアクションのクリティカル値を-1する。このアーツは《鎧の支配》と同時に取得できない。,増殖体
DO,増殖体,融合兵装,ア,3,常時,自動成功,自身,なし,2,あなたは執行者装備およびフルメタル装備から、合計Lv個までの武器を取得できるようになる(経験点は別途消費すること)。取得した武器は生体装甲の装備と同時に即座に装備でき、生体装甲を装備中のみ使用できる。,増殖体
DO,増殖体,鎧の支配,魔獣,1,常時,自動成功,自身,なし,4,あなたは生体装甲を装備中、常に暴走を受けているものとして扱い、暴走以外のBSを受けない。このアーツは《戦友たる鎧》と同時に取得できない。,増殖体
DO,増殖体,巨神着装,魔獣、0,1,マイナー,自動成功,自身,なし,罪,このシーンの間、あなたの【FP】とFP最大値を+[【肉体】×3]し、《生体兵装》と《レゾナンスアーム》のダメージに+【肉体】、《究極破壊砲》のダメージに+20する。生体装甲を装備中、1シナリオに1回まで使用でき、効果中あなたは「種別：巨大」として扱われる。,増殖体
