,ルーツ,アーツ名,種別,最大Lv,タイミング,判定値,対象,射程,コスト,効果,
サプリメント『ドミニオンズ』で追加されたブラッド。小説家ハワード・フィリップス・ラヴクラフトによって語られた、クトゥルフ神話に登場する異形の存在たちを表している。,,,,,,,,,,,
DO,コズミックホラー,おぞましき爪牙,魔獣,5,常時,効果参照,自身,なし,0,《魔獣化》の効果中、あなたの素手のダメージを+[Lv×2+2]する。この素手による攻撃がクリティカルで命中した場合、攻撃の対象は[恐怖：あなた]を受ける。あなたの《魔獣化》のコストは+1される。,ｺｽﾞﾐｯｸﾎﾗｰ
DO,コズミックホラー,元素の支配者,魔獣、攻撃,5,メジャー,【感情】,範囲,シーン,4,取得時に放心、狼狽、邪毒2からひとつ選択する。対象に[【感情】+(Lv)D6]点のダメージを与える特殊攻撃を行なう。対象は【回避値】でドッジを行なう。1点でもダメージを与えた場合、さらに選択したBSを与える。,ｺｽﾞﾐｯｸﾎﾗｰ
DO,コズミックホラー,次元跳躍,魔獣,3,イニシアチブ,自動成功,自身,なし,5,あなたは通常移動か離脱移動を行なう。この時、移動前のエンゲージにいた同意するキャラクターひとりを同時に移動させてもよい。対象がエキストラの場合、同意は必要ない。1シーンにLv回まで使用できる。,ｺｽﾞﾐｯｸﾎﾗｰ
DO,コズミックホラー,這い寄る触手,魔獣、ア,5,常時,自動成功,自身,なし,0,《魔獣化》中、あなたは以下の白兵武器を装備する。これは素手として扱う。あなたの《魔獣化》のコストは+2される。　種別：武器(白兵)　命中：0　G値：[Lv+2]　攻撃力：【肉体】+(Lv×2)+2D6　行動値：0　射程：シーン,ｺｽﾞﾐｯｸﾎﾗｰ
DO,コズミックホラー,不定形の体,魔獣,1,常時,自動成功,自身,なし,0,《魔獣化》の効果中、あなたが受ける【肉体】と【技術】属性のダメージを-5し、あなたは「種別：魔法」「種別：軍団」の襲撃武器と素手以外の武器を装備できない。装備していた場合は所持品となる。あなたの《魔獣化》のコストは+1される。,ｺｽﾞﾐｯｸﾎﾗｰ
DO,コズミックホラー,名状しがたき恐怖,魔獣,5,効果参照,自動成功,シーン,シーン,4,あなたが《魔獣化》した直後に使用する。【感情】が[あなたの【感情】+Lv+2]以下の対象に[恐怖：あなた]を与える。同じ対象には1シーン1回しか効果がない。,ｺｽﾞﾐｯｸﾎﾗｰ
DO,コズミックホラー,正気喪失,魔獣,3,常時,自動成功,自身,なし,Lv+2,[恐怖：あなた]を与えられたキャラクターは、放心を受け人間性を[1D6+Lv]点失う。この効果を受けたエキストラまたは人間性を5点以上失ったキャラクターは、トラウマや恐怖症、妄想や記憶喪失などの症状ひとつをそのシナリオ中得る。詳細はGMが決定すること。,ｺｽﾞﾐｯｸﾎﾗｰ
DO,コズミックホラー,目覚めの刻、来たれり,純血、攻撃,5,メジャー,【加護】,シーン,シーン,9,対象に[【加護】+(Lv×2+2)D6]点のダメージを与える特殊攻撃を行なう。対象は【加護】でドッジを行なう。1点でもダメージを与えた場合、さらに[恐怖：あなた]を与える。1シナリオに1回まで使用できる。,ｺｽﾞﾐｯｸﾎﾗｰ
落とし子 - 異形の存在と人間との間で産み落とされたモノを表すルーツ。交配、融合など手段は問わない。,,,,,,,,,,,
DO,落とし子,呪われし血肉,自動,1,常時,自動成功,自身,なし,3,あなたの【社会】以外の【基本能力値】ひとつを+1する。あなたがファンブルを発生させた場合、あなたは人間性を1D6点失う。,落とし子
DO,落とし子,忌まわしき同胞,ア,5,マイナー,自動成功,自身,なし,3,そのシーン中、あなたは以下のデータを持つ射撃武器を装備する。この武器は攻撃に使用するたびに人間性を2点失う。　種別：武器(射撃/軍団)　命中：0　攻撃力：(【感情】+Lv×3)+2D6　G値：4　行動値：-2　射程：シーン　購入：-/-,落とし子
DO,落とし子,禁断の知識,なし,3,効果参照,自動成功,自身,なし,2,「種別：魔法｣のアーツと同時に使用する。その効果に+【感情B】し、判定が発生する場合はそのファンブル値を+1する。1ラウンドにLv回まで使用できる。,落とし子
DO,落とし子,テラーカルト,なし,1,メジャー,自動成功,自身,なし,0,あなたの財産点を+【感情】し、あなたは1D6点の人間性を失う。1シナリオに1回まで使用できる。,落とし子
DO,落とし子,呪わしき宿業,魔獣,3,常時,自動成功,自身,なし,2,《魔獣化》の効果中、あなたが行なう判定の達成値に+Lv、DRに+【感情B】する。あなたは《魔獣化》した場合、即座に迫害状態となる。,落とし子
DO,落とし子,冒涜的儀式,魔法,1,メジャー,【感情】,自身,なし,5,難易度15の判定を行ない、成功するそのシナリオ中「種別：邪神」を持つキャラクターが行なう攻撃ダメージを+1D6する。失敗するとあなたは20点の【FP】を失う。1シーンに1回まで使用でき、複数回使用した場合、この効果は3回まで重複する。,落とし子
DO,落とし子,父なるものへの呼び声,20,3,判定直前,自動成功,自身,なし,3,あなたが行なう判定の達成値に+[あなたが持つエゴの数+《冒涜的儀式》の重複回数]し、そのファンブル値を+1する。1ラウンドにLv回まで使用できる。,落とし子
DO,落とし子,偉大なる血脈,純血,3,常時,自動成功,自身,なし,4,あなたの【基本能力値】か【戦闘能力値】ひとつを+2し、あなたのあらゆるファンブル値を+1する。解放状態の間、あなたが行なうDRに+(Lv)D6する。,落とし子
AD,落とし子,押し寄せる狂徒,攻撃,3,メジャー,【射撃値】,範囲,シーン,5,対象に《忌まわしき同胞》を使用した射撃攻撃を行なう。この攻撃が命中した場合、そのシーンの間、対象が存在するエンゲージを封鎖する。対象は敵とエンゲージしているものとして扱い、離脱移動を行なう場合はあなたと【行動値】対決を行なう。あなたが《テラーカルト》を持つ場合、この攻撃のダメージに+(Lv)D6する。,落とし子
AD,落とし子,狂気ゆえの洞察,なし,3,判定直後,自動成功,自身,なし,3,あなたが情報収集判定かドッジを行なった直後に使用する。その達成値に+3する。あなたが迫害状態を受けているか、あなたの人間性が10以下の場合、この効果は+[【感情B】+1]に変更される。1シーンにLv回まで使用できる。,落とし子
AD,落とし子,この世ならざるもの,なし,1,常時,自動成功,自身,なし,3,取得には《呪われし血肉》が必要。あなたはファンブルを発生させても、達成値が0になることはなく、通常どおりダイス目を加算する。ただし《呪われし血肉》の効果で人間性を減らす際、ダイスを2つ振っていずれか高いほうの出目を選択すること。,落とし子
AD,落とし子,邪なる智慧,なし,1,常時,自動成功,自身,なし,1,あなたは《禁断の知識》を、「種別：魔法」の武器による攻撃と同時にも使用でき、その効果を攻撃のダメージにも適用できる。また、あなたが使用する「種別：攻撃」のコズミックホラーのアーツは「種別：魔法」としても扱われる。,落とし子
AD,落とし子,捨て身の総仕上げ,0,1,イニシアチブ,自動成功,自身,なし,7,あなたは即座にメジャーアクションを1回行なう。ただし、そのメジャーアクションでは攻撃か《冒涜的儀式》《目覚めの刻、来たれり》を使用すること。1シーンに1回まで使用でき、あなたがファンブルを発生させたラウンドの間は人間性が0以下でなくともこのアーツを使用できる。,落とし子
眷属 - 邪神の奉仕種族や独立種族を表すルーツ。深きものどもや古のものなど。,,,,,,,,,,,
DO,眷属,神話種族,自動,5,常時,自動成功,自身,なし,4,あなたの【FP】最大値を+[Lv×5+10]し、A値を+2する。あなたは《魔獣化中》、乗り物を装備できない。装備していた場合は所持品となる。,眷属
DO,眷属,彼方へと運ぶもの,魔獣,3,マイナー,自動成功,単体,至近,3,あなたは対象と同調状態になる。この同調状態の間、対象が行なう命中判定とドッジの達成値を+Lv、あるいは-Lvする。使用時に決定すること。対象はマイナーアクションでこの同調状態を解除できる。,眷属
DO,眷属,脅威の外科手術,魔獣、回復,5,メジャー,自動成功,単体,至近,3,対象の【FP】を[【肉体】+(Lv×2)D6]点回復し、BSひとつを回復する。この時、対象のエキストラまたは同意した対象の外見や記憶を任意に変更してもよい。,眷属
DO,眷属,深淵の眷属,なし,1,マイナー,自動成功,自身,なし,3,あなたは隠密状態となり、この隠密状態で行なう攻撃のダメージに+【肉体B】する。また、あなたは常に、GMが水中の影響と判断した不利な効果を受けない。,眷属
DO,眷属,ねばつく粘液,防御、魔獣,3,DR直後,自動成功,自身,なし,3,あなたが受けるダメージを-[【肉体】+1D6]し、攻撃側のキャラクターに邪毒(Lv)を与える。1ラウンドに1回まで使用できる。,眷属
DO,眷属,星々の翼,魔獣,3,常時,効果参照,自身,なし,0,《魔獣化》の効果中、あなたは飛行状態となり、【行動値】に+[Lv×2]する。あなたの《魔獣化》コストは+1される。,眷属
DO,眷属,精神転移,20、回復,1,効果参照,自動成功,自身,なし,9,あなたがかりそめの死となった直後に使用する。かりそめの死を回復し、【FP】を【肉体】点まで回復する。またそのシナリオ中、あなたの【基本能力値】か【戦闘能力値】ひとつを+2する。1シナリオに1回まで使用できる。,眷属
DO,眷属,恐怖の化身,純血、魔獣,5,常時,自動成功,自身,なし,5,あなたの《名状しがたき恐怖》のLvと最大Lvを+2する。[恐怖：あなた]を与えられたキャラクターは即座に[あなたの【肉体B】+Lv×2]点の【FP】を失い、狼狽を受ける。,眷属
AD,眷属,外なる神々の調べ,魔獣、攻撃,3,メジャー,【感情】,シーン,シーン,7,対象にDRの代わりに放心を与え、【FP】を【感情B】D6点失わせる特殊攻撃を行なう。対象は【感情】でドッジを行なう。1シーンにLv回まで使用でき、「種別：邪神」を持つキャラクターはこのアーツの影響を受けない。,眷属
AD,眷属,地下に棲むもの,魔獣,3,ムーブ,自動成功,自身,なし,3,あなたはそのシーンの間、射撃攻撃に対するドッジの達成値が+[Lv+2]される。この効果はあなたが攻撃を行なうと解除され、その攻撃を「対象：範囲」に変更してもよい。,眷属
AD,眷属,涜神的巨体,魔獣,1,常時,自動成功,自身,なし,0,《魔獣化》の効果中、あなたの【肉体】を+2(【FP】は変化しない)、【回避値】が-2(最低0)され、あなたは「種別：巨大」として扱われる。あなたの《魔獣化》コストは+1される。,眷属
AD,眷属,のし掛かる悪夢,魔獣、攻撃,1,メジャー,【白兵】,単体,至近,4,対象に素手による白兵攻撃を行なう。この攻撃ダメージに+【肉体】し、1点でもダメージを与えた場合、あなたが《不定形の体》を持つなら狼狽、《ねばつく粘液》を持つなら邪毒(《ねばつく粘液》のLv)を与える。ともに持つ場合は両方与えること。,眷属
AD,眷属,破滅の暴威,0、魔獣,1,マイナー,自動成功,自身,なし,5,そのメインプロセスの間、あなたが行なう攻撃ダメージを+[【肉体】×2]し、[恐怖：あなた]を受けている対象のA値とG値を0としてダメージを算出する。,眷属
邪神の分霊(わけみたま) - 邪神の分体や端末を表すルーツ。邪神本体ではなく、その意思、思考は独立して行動する。,,,,,,,,,,,
DO,邪神の分霊,無窮の神性,自動,1,判定直前,自動成功,自身,なし,2,あなたはあらゆる判定を【加護】で行なえる。1ラウンドに1回まで使用できる。,邪神の分霊
DO,邪神の分霊,嘲笑う仮面,魔獣,3,リアクション,【加護】,自身,なし,3,あなたは白兵攻撃か射撃攻撃に対するドッジを[【加護】+Lv]で行なえる。攻撃を回避した場合、攻撃側のキャラクターに[恐怖：あなた]を与える。1ラウンドに1回まで使用できる。,邪神の分霊
DO,邪神の分霊,コズミックマーシャルアーツ,攻撃,1,メジャー,【白兵】【射撃】,単体,武器,3,対象に白兵攻撃か射撃攻撃を行なう。この攻撃のダメージに+【加護B】し、1点でもダメージを与えた場合さらに狼狽を与える。,邪神の分霊
DO,邪神の分霊,奉仕者召喚,なし,1,マイナー,自動成功,自身,なし,3,そのシーンの間、あなたが【加護】か【社会】でおこなう判定の達成値に+2する。,邪神の分霊
DO,邪神の分霊,邪なる波動,攻撃,5,メジャー,【加護】,範囲,シーン,4,対象に[【加護】+(Lv+1)D6]点のダメージを与える特殊攻撃を行なう。対象は【感情】でドッジを行なう。1点でもダメージを与えた場合、さらに重圧を与える。[恐怖：あなた]を受けている対象はドッジが行なえない。,邪神の分霊
DO,邪神の分霊,呼び覚まされし力,魔獣、支援,1,DR直前,自動成功,単体,シーン,3,対象が行なう攻撃のダメージを+[【加護B】+1D6]し、ダメージ属性を【加護】に変更する。《奉仕者召喚》の効果中、効果にさらに+3する。1ラウンドに1回まで使用できる。,邪神の分霊
DO,邪神の分霊,全にして一なるもの,20,3,判定直後,自動成功,単体,シーン,5,その判定で振られたダイスのうち、あなたが選択したひとつを1または6に変更する。1シナリオにLv回まで使用できる。,邪神の分霊
DO,邪神の分霊,邪神降臨,純血、魔獣,1,効果参照,自動成功,自身,なし,7,あなたがかりそめの死から回復するか、解放状態となった直後に使用する。そのシーンの間、あなたは「種別：巨大」となり、判定の達成値に+2、DRに+【加護】し、あなたの攻撃から1点でもダメージを受けた者に[恐怖：あなた]を与える。1シナリオに1回まで使用できる。,邪神の分霊
AD,邪神の分霊,真なる恐怖,なし,3,常時,自動成功,自身,なし,4,ドミニオンアーツ以外の手段によっては、あなたは恐怖と放心を受けない。あなたに恐怖や放心を与えようとした者は即座に[恐怖：あなた]を受け、(Lv×2)D6点の【FP】を失う。,邪神の分霊
AD,邪神の分霊,夢幻のヴィジョン,なし,3,判定直後,自動成功,単体,シーン,3,あなた以外の同意した対象が判定を行なった直後に使用する。その判定の達成値を+1D6し、対象は同点の人間性を失う。1シーンにLv回まで使用でき[恐怖：あなた]を受けている対象には、同意を得ずに使用できる。,邪神の分霊
AD,邪神の分霊,無謀なる遠謀,なし,1,イニシアチブ,自動成功,単体,シーン,7,あなた以外の同意した対象は即座にメインプロセスを行なう。対象は未行動でなくてはならない。[恐怖：あなた]を受けている対象には同意は必要なく、さらに行動の内容をあなたが決定できる(アーツを使わせることはできない)。1シーンに1回まで使用でき、対象を単体から変更できない。,邪神の分霊
