,ルーツ,アーツ名,種別,最大Lv,タイミング,判定値,対象,射程,コスト,効果,ルーツ
サプリメント『ディケイド』で追加されたブラッド。「別の世界のルール」で動くものたちをあらわすブラッド。,,,,,,,,,,,
DE,ストレンジャー,異界の拠点,ア,1,効果参照,自動成功,効果参照,なし,2,舞台裏の処理で使用する。あなたと任意の味方全ての【FP】を完全に回復する。1シナリオ1回。,ｽﾄﾚﾝｼﾞｬｰ
DE,ストレンジャー,異界のコスチューム,ア,1,常時,自動成功,自身,なし,2,あなたが常備化している防具から一つ選択する。選択した防具のA値と行動値修正を+2する。プリプレイに選択しなおしても良い。,ｽﾄﾚﾝｼﾞｬｰ
DE,ストレンジャー,異界の才,なし,1,常時,自動成功,自身,なし,2,あなたの【戦闘能力値】から二つ選択する。片方を+2し、もう片方を-2する。,ｽﾄﾚﾝｼﾞｬｰ
DE,ストレンジャー,異界の作法,なし,5,メジャー,自動成功,自身,なし,3,そのシナリオの間、あなたの【FP】最大値を+[Lv×5+5]し、同点の【FP】を回復する。1シナリオ1回。,ｽﾄﾚﾝｼﾞｬｰ
DE,ストレンジャー,異界の浸食,なし,1,常時,自動成功,自身,なし,0,あなたは《アレナ展開》を「タイミング：マイナー」としても使用でき、《アレナ展開》を使用したシーン中に行なうあらゆる判定の達成値を+1する、あなたが使用する《アレナ展開》のコストは+2される。,ｽﾄﾚﾝｼﾞｬｰ
DE,ストレンジャー,異界の武器,ア,5,常時,自動成功,自身,なし,2,あなたが常備化している武器か乗り物からLv個まで選択する。選択したアイテムのダメージの基準と属性を、任意の【基本能力値】ひとつに変更し、ダメージに+2する。プリプレイに選択しなおしても良い。,ｽﾄﾚﾝｼﾞｬｰ
DE,ストレンジャー,異界の法則,なし,1,常時,自動成功,自身,なし,4,あなたの【基本能力値】から二つ選択する。片方を+1し、もう片方を-1する。,ｽﾄﾚﾝｼﾞｬｰ
DE,ストレンジャー,異界の流儀,攻撃、魔獣,1,メジャー,【白兵】【射撃】,単体,武器,3,対象に、ストレンジャーのアーツの効果で取得したアイテムか、《異界の武器》で選択したアイテムによる白兵攻撃か射撃攻撃を行なう。この攻撃のダメージに+2D6する。,ｽﾄﾚﾝｼﾞｬｰ
DE,ストレンジャー,以前はこうだった,なし,1,効果参照,自動成功,シーン,シーン,1,いつでも使用できる。対象はあなたの服装や言動、行動などに違和感を抱くことがなくなる。アンノウンマンの眼前で超能力を使おうと、不自然に思われることはない。ただし、嘘を信じ込ませたりはできず、変異は隠せない。詳細はGMが決定すること。,ｽﾄﾚﾝｼﾞｬｰ
DE,ストレンジャー,祝福のルール,なし,1,常時,自動成功,自身,なし,0,あなたが《アレナ展開》を使用したシーンの間、あなたが使用する「種別：支援」「種別：防御」のアーツの効果に+1D6する。あなたの《アレナ展開》のコストは+1される。,ｽﾄﾚﾝｼﾞｬｰ
DE,ストレンジャー,常識改竄,なし,1,DR直前,自動成功,単体,シーン,2,対象が行なう攻撃のダメージ属性を、<肉体><技術><感情><加護><社会>のいずれかに変更する。1ラウンド1回。,ｽﾄﾚﾝｼﾞｬｰ
DE,ストレンジャー,情報操作,攻撃,1,メジャー,【技術】,単体,シーン,3,対象に、DRの代わりに[翻弄：あなた]を与える特殊攻撃を行なう。対象は【社会】でドッジを行なう。対象がエキストラの場合、虚偽の情報を信じ込ませたり、事実を隠蔽することができる。詳細はGMが決定すること。,ｽﾄﾚﾝｼﾞｬｰ
DE,ストレンジャー,ストレンジアーツ,コピー,効果参照,効果参照,効果参照,効果参照,効果参照,効果参照,他のブラッドまたはルーツから、「タイミング：常時」以外のアーツ一つを選択し、コピーする。コピーしたアーツのコストは+1され、《魔獣化》の効果中のみ使用できる。,ｽﾄﾚﾝｼﾞｬｰ
