,ルーツ,アーツ名,種別,最大Lv,タイミング,判定値,対象,射程,コスト,効果,ルーツ
霊的な存在。人間の想いから生まれた魔物たちをあらわすブラッド。,,,,,,,,,,,
,スピリット,姿隠し,なし,1,マイナー,自動成功,自身,なし,2,あなたはメインプロセス終了まで隠密状態となる。敵とエンゲージ中でも隠密状態になれる。この隠密状態の間、あなたは攻撃の命中判定を【感情】で行なえる。,ｽﾋﾟﾘｯﾄ
,スピリット,世界霊魂,回復、魔法,3,メジャー,自動成功,単体,至近,5,対象のかりそめの死を回復し、【FP】を1点まで回復する。1シナリオにLv回まで使用でき、このアーツはいかなる効果でも対象を変更できない。,ｽﾋﾟﾘｯﾄ
,スピリット,魂のひと触れ,攻撃、魔法,5,メジャー,【白兵】,単体,武器,2,対象に白兵攻撃を行なう。この攻撃に対しては、対象のA値を-[Lv×3](最低0)してダメージを算出する。,ｽﾋﾟﾘｯﾄ
,スピリット,友なる霊,なし,1,セットアップ,自動成功,自身,なし,2,そのシーンの間、あなたの【感情】による判定の達成値に+2する。,ｽﾋﾟﾘｯﾄ
,スピリット,霊力撃,攻撃、魔法,5,メジャー,【射撃】,単体,武器,2,対象に射撃攻撃を行なう。この攻撃に対しては、対象のG値を-[Lv×3](最低0)してダメージを算出する。,ｽﾋﾟﾘｯﾄ
,スピリット,霊力増幅,なし,3,マイナー,自動成功,自身,なし,2,そのメインプロセスにあなたが使用する「種別：魔法」のアーツと「種別：魔法」の武器による攻撃のダメージに+[Lv×3]する。,ｽﾋﾟﾘｯﾄ
,スピリット,霊力付与,支援,3,DR直前,自動成功,単体,シーン,1,同意した対象が行なうDRの属性を【感情】に変更し、そのダメージに+2D6する。1ラウンドにLv回まで使用できる。,ｽﾋﾟﾘｯﾄ
,スピリット,法則支配者,純血、魔獣,1,効果参照,自動成功,自身,なし,4,スピリットのアーツまたは「種別：魔法」のアーツと同時に使用する。その効果で与えるダメージ、軽減するダメージ、回復する【FP】をすべて+【感情】する。1ラウンドに1回まで使用できる。,ｽﾋﾟﾘｯﾄ
DE,スピリット,グレムリンエフェクト,なし,1,判定直前,自動成功,単体,シーン,2,対象が行なう命中判定の達成値に+3する。その攻撃が「種別：機械」を持つキャラクターに命中した場合、さらに暴走を与える。1ラウンドに1回まで使用できる。,ｽﾋﾟﾘｯﾄ
DE,スピリット,眷属の助け,魔獣,1,ムーブ,自動成功,自身,なし,2,そのメインプロセスの間、あなたが行なう特殊攻撃のダメージに+1D6し、攻撃の対象は【回避値】でドッジを行なわなくてはならない。,ｽﾋﾟﾘｯﾄ
DE,スピリット,静かなる狩人,魔獣,3,常時,自動成功,自身,なし,2,《魔獣化》の効果中、あなたが隠密状態で行なうあらゆるDRに+(Lv)D6する。,ｽﾋﾟﾘｯﾄ
DE,スピリット,精霊弓,魔獣、ア,5,常時,自動成功,自身,なし,2,《魔獣化》の効果中、あなたは以下の射撃武器を装備する。装備中、あなたは特殊攻撃の命中判定を【射撃値】+2で行なえる。　種別：武器(射撃/魔法)　命中：1　攻撃力：【感情】+(Lv×2)+2D6　G値：2　行動値：0　射程：遠隔　購入：-/-,ｽﾋﾟﾘｯﾄ
DE,スピリット,精霊剣,魔獣、ア,5,常時,自動成功,自身,なし,2,《魔獣化》の効果中、あなたは以下の白兵武器を装備する。装備中、あなたは白兵攻撃に対するドッジを【白兵値】で行なえる。　種別：武器(白兵/魔法)　命中：1　攻撃力：【感情】+(Lv×3)+1D6　G値：Lv+4　行動値：0　射程：至近　購入：-/-,ｽﾋﾟﾘｯﾄ
DE,スピリット,精霊盾,なし,1,リアクション,自動成功,自身,なし,3,あなたはガードを行なう。この時、ガードに使用した「種別：魔法」のアイテムひとつのG値を2倍にして効果を計算する。,ｽﾋﾟﾘｯﾄ
DE,スピリット,霊気惑乱,支援,1,DR直前,自動成功,単体,シーン,2,そのDRで、BSを受けているキャラクターが受けるダメージを+[受けているBSの数×5]する。BSを受けているキャラクターにのみこの効果は適用される。,ｽﾋﾟﾘｯﾄ
DE,スピリット,スピリチュアルアンプ,純血,1,イニシアチブ,自動成功,単体,シーン,罪,対象は即座にメインプロセスを1回行なう。対象が未行動の場合、このメインプロセスを行なっても行動済みにはならない。1シナリオに1回まで使用できる。このアーツはいかなる効果でも対象を単体から変更できない。,ｽﾋﾟﾘｯﾄ
幽霊 - 死者が残した未練のエゴが実体化したものたちをあらわすルーツ。,,,,,,,,,,,
