,ルーツ,アーツ名,種別,最大Lv,タイミング,判定値,対象,射程,コスト,効果,ルーツ
人間たちから「善」の存在として崇拝や畏敬を集めてきたものたちをあらわすブラッド。,,,,,,,,,,,
,セレスチャル,畏怖,なし,3,マイナー,自動成功,自身,なし,2,そのメインプロセスの間、あなたが行なう攻撃の命中判定に+[Lv+1]し、命中した場合、攻撃の対象に重圧を与える。,ｾﾚｽﾁｬﾙ
,セレスチャル,後光,なし,3,リアクション,【加護】,自身,なし,2,あなたはドッジを【加護】で行なえる。1ラウンドにLv回まで使用できる。,ｾﾚｽﾁｬﾙ
,セレスチャル,祝福,支援,5,メジャー,自動成功,範囲,シーン,2,そのシーンの間、同意した対象が行なう攻撃のダメージと、対象のA値を+[Lv×2]する。,ｾﾚｽﾁｬﾙ
,セレスチャル,神撃,攻撃,1,メジャー,【白兵】【射撃】,単体,武器,2,対象に白兵攻撃か射撃攻撃を行なう。この攻撃ダメージに+【加護B】し、対象が「種別：魔界」を持つ場合、与えるダメージにさらに+5する。,ｾﾚｽﾁｬﾙ
,セレスチャル,神罰,支援,1,判定直前,自動成功,単体,シーン,罪,対象が攻撃の命中判定を行なう直前に使用する。この攻撃に対してはガードを行なえず、そのダメージに+[【加護】×3]する。1シーンに1回まで使用できる。,ｾﾚｽﾁｬﾙ
,セレスチャル,地の災厄,攻撃、魔獣,5,メジャー,【加護】,範囲,シーン,4,対象に[【加護】+(Lv)D6]点のダメージを与える特殊攻撃を行なう。対象は【回避値】でドッジを行なう。飛行状態でない対象に1点でもダメージを与えた場合、さらに狼狽を与える。,ｾﾚｽﾁｬﾙ
,セレスチャル,天の審判,攻撃、魔獣,5,メジャー,【加護】,範囲,シーン,4,対象に[【加護】+(Lv)D6]点のダメージを与える特殊攻撃を行なう。対象は【回避値】でドッジを行なう。飛行状態の対象に1点でもダメージを与えた場合、さらに束縛を与える。,ｾﾚｽﾁｬﾙ
,セレスチャル,奇跡,純血、回復,1,効果参照,自動成功,単体,シーン,愛,対象がかりそめの死となった直後に使用する。対象のかりそめの死を回復し、【FP】を1点まで回復する。1シナリオに1回まで使用でき、かりそめの死を受けていても特別に使用できる。このアーツはいかなる効果でも対象を単体から変更できない。,ｾﾚｽﾁｬﾙ
DO,セレスチャル,愛の恩寵,回復,3,効果参照,自動成功,単体,シーン,3,対象が愛を獲得した直後に使用する。対象の【FP】を「あなたの【加護】+2D6]点回復し、BSをすべて回復する。1ラウンドにLv回まで使用できる。,ｾﾚｽﾁｬﾙ
DO,セレスチャル,金色の玉座,攻撃,1,メジャー,【加護】,範囲,シーン,4,対象にDRの代わりに重圧と放心を与える特殊攻撃を行なう。対象は【感情】でドッジを行なう。対象がエキストラの場合、あなたの支配下となる。詳細はGMが決定すること。,ｾﾚｽﾁｬﾙ
DO,セレスチャル,神器,ア,5,常時,自動成功,自身,なし,3,あなたが常備化しているアイテムからLv個まで選択する。それが武器か乗り物ならダメージの属性と基準を【加護】に変更し、ダメージに+1D6する。防具ならA値を[【加護Ｂ】+2]に変更する。プリプレイに変更し直してもよい。,ｾﾚｽﾁｬﾙ
DO,セレスチャル,神気循環,魔獣,1,常時,自動成功,自身,なし,0,《魔獣化》の効果中、あなたの【肉体】【技術】のA値と、素手のダメージを+【加護Ｂ】する。あなたの《魔獣化》コストは+2される。,ｾﾚｽﾁｬﾙ
DO,セレスチャル,信仰のシンボル,なし,1,常時,自動成功,自身,なし,2,あなたの【加護】を+2する。トゥルーブラッドの場合、この効果は+3となる。,ｾﾚｽﾁｬﾙ
DO,セレスチャル,絶対結界,防御、魔法,3,DR直後,自動成功,単体,シーン,4,対象が行なったDRを-10し、対象はそのDRでBSを与えられない。1シーンにLv回まで使用できる。,ｾﾚｽﾁｬﾙ
DO,セレスチャル,想念集積,なし,5,マイナー,自動成功,自身,なし,3,そのメインプロセスの間、あなたが行なう攻撃のダメージと、使用する「種別：回復」のアーツの効果を+【社会】する。1シーンにLv回まで使用できる。,ｾﾚｽﾁｬﾙ
DO,セレスチャル,光あれ,純血、魔獣,1,効果参照,自動成功,単体,シーン,愛,対象が「対象：自身」以外のアーツを使用した直後に使用する。そのアーツを「対象：シーン」「射程：シーン」に変更する。1シナリオに1回まで使用できる。,ｾﾚｽﾁｬﾙ
神格 - 自分のドミニオンはもっていないが、神として地上で崇敬されてきたものたちをあらわすルーツ。,,,,,,,,,,,
,神格,概念神,選択,5,判定直後,自動成功,単体,シーン,2,対象が行なった判定を振り直させる。1回の判定につき1度、1ラウンドにLv回まで使用できる。,神格
,神格,自然神,選択、防御,5,DR直後,自動成功,単体,シーン,2,対象が受けるダメージを-【加護B】する。1ラウンドにLv回まで使用できる。,神格
,神格,創造神,選択,5,効果参照,自動成功,単体,シーン,1,対象が「種別：回復」のアーツまたはアイテムを使用する際に使用する。その効果で回復する【FP】を+【加護B】する。1ラウンドにLv回まで使用できる。,神格
,神格,破壊神,選択、支援,5,DR直前,自動成功,単体,シーン,2,対象が行なうDRに+【加護B】する。1ラウンドにLv回まで使用できる。,神格
,神格,崇め讃えよ,魔獣,1,セットアップ,自動成功,自身,なし,4,そのラウンドの間、あなたが使用する【加護B】で効果を計算する神格のアーツの効果すべてに+【社会B】する。,神格
,神格,繁栄の地,回復,3,マイナー,自動成功,シーン,シーン,3,対象の【FP】を[【加護】+2D6]点回復し、BSをすべて回復する。1シーンにLv回まで使用できる。,神格
,神格,神の導き,20,1,メジャー,自動成功,単体,シーン,4,対象は即座にメインプロセスを行なう。対象が行動済みであってもメインプロセスを行なえ、対象が未行動の場合、このメインプロセスを行なっても行動済みにならない。このアーツはいかなる効果でも対象を単体から変更できず、あなた自身を対象にできない。,神格
,神格,神霊顕現,純血,1,解放状態,自動成功,自身,なし,5,あなたが解放状態となった直後に使用する。そのシーンの間、あなたの行なうメジャーアクションの判定のクリティカル値を-1する。,神格
DE,神格,祟り神,選択,3,判定直後,自動成功,単体,シーン,2,対象が行なった判定の達成値を-2する。1ラウンドにLv回まで使用できる。,神格
DE,神格,荒ぶる神威,魔獣,5,マイナー,自動成功,自身,なし,3,そのメインプロセスの間、あなたが行なう特殊攻撃の命中判定の達成値に+2、DRに+[Lv×4]する。,神格
DO,神格,因果支配,なし,1,判定直後,自動成功,単体,シーン,4,対象が行なった判定のダイス目を±1(最低2、最大12)する。1シナリオに3回まで使用でき、あなたが《概念神》か《祟り神》を取得している場合、それらを使用した直後にこのアーツを即座に使用できる。,神格
DO,神格,神の恩恵,魔獣,1,常時,自動成功,自身,なし,3,《魔獣化》中のあなたの登場しているシーンで、あなたへの絆を持つ味方が行なう判定の達成値を+1する。あなたが《破壊神》を取得している場合、さらにその味方が行なう攻撃ダメージを+1D6する。,神格
DO,神格,自然同化,なし,1,ムーブ,自動成功,自身,なし,3,あなたは隠密状態となる。敵とエンゲージ中でも隠密状態になれる。あなたが《自然神》を取得している場合、このアーツは「対象：単体」「射程：シーン」としてあなた以外の対象にも使用できる。,神格
