,ルーツ,アーツ名,種別,最大Lv,タイミング,判定値,対象,射程,コスト,効果,
サプリメント『アドヴェント』で追加されたブラッド。いわゆる“悪の組織”に属するものを表している。,,,,,,,,,,,
AD,ダークカルテル,お許しを、大首領！,なし,3,効果参照,自動成功,自身,なし,1,あなたがファンブルを発生させた直後に使用する。あなたの【FP】を半分(端数切捨て)にし、シナリオ中任意の【戦闘能力値】Lv個を+2(【行動値】なら+5)する。1シナリオに1回使用可能。,ﾀﾞｰｸｶﾙﾃﾙ
AD,ダークカルテル,窮地！一時撤退,回復,3,イニシアチブ,自動成功,自身,なし,3,あなたは離脱移動を行ない、【FP】を3D6点回復する。GMが認めれば、あなたはシーンから退場してもよい(クライマックスフェイズからは退場不可)。1シーンにLv回まで使用できる。,ﾀﾞｰｸｶﾙﾃﾙ
AD,ダークカルテル,脅威！死の妨害工作,魔獣,1,判定直後,自動成功,単体,シーン,3,対象が行なった判定の達成値を-2する。1ラウンドに1回まで使用でき、あなたが幹部ルーツを持つ場合、この効果は-3となる。,ﾀﾞｰｸｶﾙﾃﾙ
AD,ダークカルテル,交錯！悪の好敵手,なし,1,効果参照,自動成功,自身,なし,3,いつでも使用できる。使用時にあなたが持つ絆ひとつを指定する。シナリオ中、その絆の対象が登場しているシーンで、あなたおよびその絆の対象が行なう判定の達成値を+1する。1シナリオに1回まで使用できる。,ﾀﾞｰｸｶﾙﾃﾙ
AD,ダークカルテル,号令！集団戦法,魔獣,3,効果参照,自動成功,自身,なし,3,「種別：軍団」の装備中か、あなたがクラードとして扱われている間のみ使用可能。「対象：単体」のアーツと同時に使用する。そのアーツを「対象：範囲」に変更する。1ラウンドにLv回まで使用できる。,ﾀﾞｰｸｶﾙﾃﾙ
AD,ダークカルテル,出撃！戦闘員軍団,魔獣、ア,5,イニシアチブ,自動成功,自身,なし,2,そのシーン中、あなたは以下の射撃武器を装備する。戦闘員のルーツを持つ場合、「射程：至近」「命中：1」に変更される。　種別：武器(射撃/軍団)　命中：0　G値：[Lv+3]　攻撃力：【技術】+(Lv×2)+2D6　行動値：0　射程：シーン,ﾀﾞｰｸｶﾙﾃﾙ
AD,ダークカルテル,励め！悪の暗躍,魔獣,1,判定直前,自動成功,自身,なし,2,あなたが何らかの判定を行なう直前に使用する。その判定の達成値を+2、ファンブル値を+1する。,ﾀﾞｰｸｶﾙﾃﾙ
AD,ダークカルテル,身体改造処置,なし,1,常時,自動成功,自身,なし,2,あなたの【肉体】か【技術】を+2する。あなたが【基本能力値】で行なう判定のファンブル値は+1される。,ﾀﾞｰｸｶﾙﾃﾙ
AD,ダークカルテル,精神強化処置,なし,1,常時,自動成功,自身,なし,2,あなたの【感情】か【社会】を+2する。あなたが【戦闘能力値】で行なう判定のファンブル値は+1される。,ﾀﾞｰｸｶﾙﾃﾙ
AD,ダークカルテル,発動！恐怖の作戦,魔獣,1,メジャー,自動成功,自身,なし,4,シーン内のエキストラすべてに「恐怖：あなた」を与え、そのシナリオ中あなたが行なう攻撃のダメージに+【社会B】する。,ﾀﾞｰｸｶﾙﾃﾙ
AD,ダークカルテル,卑劣！迫る悪の罠,魔獣、攻撃,1,メジャー,【白兵】【射撃】,単体,武器,3,対象に白兵攻撃か射撃攻撃を行なう。この攻撃のダメージに+【技術B】し、1点でもダメージを与えた場合、狼狽か放心を与える。使用時にいずれか選択すること。,ﾀﾞｰｸｶﾙﾃﾙ
AD,ダークカルテル,我らが組織のために！,魔獣,3,マイナー,自動成功,自身,なし,2,そのメインプロセス中、あなたが行なう攻撃の命中判定に+Lv、ダメージに+【感情B】する。,ﾀﾞｰｸｶﾙﾃﾙ
AD,ダークカルテル,偉大なる悪の組織万歳！,20、魔獣、攻撃,1,メジャー,【技術】,範囲,至近,5,対象に[【技術】+10+4D6]点のダメージを与える特殊攻撃を行なう。この攻撃に対してはドッジを行なえない。攻撃後、あなたの【FP】は0となる。1シナリオに1回まで使用できる。,ﾀﾞｰｸｶﾙﾃﾙ
AD,ダークカルテル,驚愕！最後の奥の手,20、魔獣,1,マイナー,自動成功,自身,なし,4,そのメインプロセス中、あなたが行なう攻撃のダメージに+[もっとも高い【基本能力値】×2]する。1シナリオに1回まで使用できる。,ﾀﾞｰｸｶﾙﾃﾙ
AD,ダークカルテル,震撼！脅威の大作戦,0、魔獣、攻撃,5,メジャー,【社会】,シーン,シーン,罪,対象に[【社会】+(Lv×2)D6]のダメージを与える特殊攻撃を行なう。対象は【社会】でドッジを行なう。1点でもダメージを与えた場合、さらに狼狽を与える。1シーンに1回まで使用でき、《発動！恐怖の作戦》を使用したシナリオ中のみ使用可能。,ﾀﾞｰｸｶﾙﾃﾙ
AD,ダークカルテル,悪にだって絆はあるんだ！,純血,1,判定直後,自動成功,単体,シーン,愛,あなたと互いに絆を持つ者、または《交錯！悪の好敵手》で指定した者がいるシーンでのみ使用でき、あなたかその者のみ対象にできる。対象が行なった判定をクリティカルにする。1シナリオに1回まで使用できる。,ﾀﾞｰｸｶﾙﾃﾙ
AD,ダークカルテル,見よ！これが悪のプライドだ,純血,3,判定直後,自動成功,自身,なし,3,あなたが何らかの判定を行なった直後に使用する。その達成値を+[もっとも高い【能力値B】]する。このアーツは1シナリオにLv回まで使用できる。,ﾀﾞｰｸｶﾙﾃﾙ
GF243,ダークカルテル,哀れ！安息なき宿命,魔獣,5,常時,自動成功,自身,なし,1,《魔獣化》中、あなたが行なう攻撃のダメージを+(Lv)D6する。あなたは常に(《魔獣化》中以外でも)ファンブルを発生させるたび【FP】を(Lv)D6点失う。,ﾀﾞｰｸｶﾙﾃﾙ
GF243,ダークカルテル,幻惑！悪のマリオネット,魔獣,5,マイナー,自動成功,範囲,シーン,4,取得時に【感情】か【社会】を選択する。選択した【基本能力値】が[あなたの同じ【基本能力値】+(Lv×2)]以下の対象に重圧を与える。対象がエキストラの場合、あなたの支配下となる。1シーンに1回まで使用できる。,ﾀﾞｰｸｶﾙﾃﾙ
GF243,ダークカルテル,捕獲！恐るべき死地,なし,5,効果参照,自動成功,単体,シーン,3,取得時に【技術】か【社会】を選択する。対象が移動を行なった直後に使用する。選択した【基本能力値】が、[あなたの同じ【基本能力値】+(Lv×2)]以下の対象に狼狽を与える(あなたが《アレナ展開》を使用中なら自動的に成功する)。1シーンに1回まで使用できる。,ﾀﾞｰｸｶﾙﾃﾙ
GF243,ダークカルテル,無謀！大胆なる挑戦,なし,1,効果参照,自動成功,自身,なし,2,セットアッププロセスまたはシーン登場時に使用する。戦闘中ならそのラウンド中、それ以外ならシーン中、あなたが行なうあらゆる判定の達成値とファンブル値を+1する。,ﾀﾞｰｸｶﾙﾃﾙ
GF243,ダークカルテル,周到！独創なる企て,40、魔獣,1,マイナー,自動成功,自身,なし,2,あなたは「タイミング：マイナーアクション」のアーツをさらに２つ使用できる。ただし、その少なくとも片方はダークカルテルのブラッドに属するアーツでなくてはならない。1ラウンドに1回まで使用できる。,ﾀﾞｰｸｶﾙﾃﾙ
怪人 - 悪の組織の主戦力として運用される一騎当千の力を持った超人たちをあらわすルーツ。,,,,,,,,,,,
AD,怪人,怪人態：イメージ,選択、魔獣,3,常時,自動成功,自身,なし,0,《魔獣化》中、あなたが行なう特殊攻撃の命中判定に+Lv、ダメージに+[Lv×3]する。あなたの《魔獣化》のコストは+Lvされ、常に「種別：概念」を得る。,怪人
AD,怪人,怪人態：エネルギー,選択、魔獣,3,常時,自動成功,自身,なし,0,《魔獣化》中、あなたの【感情】と【加護】のA値を+[Lv×2+2]し、「種別：魔法」の武器およびアーツを使用した射撃攻撃のダメージを+1D6する。あなたの《魔獣化》のコストは+Lvされ、常に「種別：精霊」を得る。,怪人
AD,怪人,怪人態：エンシェント,選択、魔獣,3,常時,自動成功,自身,なし,0,《魔獣化》中、あなたの【FP】と【FP】最大値を+[Lv×10+5]する。あなたの《魔獣化》のコストは+Lvされ、常に「種別：神聖」または「種別：魔界」を得る。,怪人
AD,怪人,怪人態：スカイ,選択、魔獣,3,常時,自動成功,自身,なし,0,《魔獣化》中、あなたは飛行状態となり、【回避値】に+Lvする。あなたの《魔獣化》のコストは+Lvされ、常に「種別：亜人」または「種別：機械」を得る。,怪人
AD,怪人,怪人態：バイオ,選択、魔獣,3,常時,自動成功,自身,なし,0,《魔獣化》中、あなたが行なう白兵攻撃のダメージを+[Lv×3]する。あなたの《魔獣化》のコストは+Lvされ、常に「種別：亜人」を得る。,怪人
AD,怪人,怪人態：マシーン,選択、魔獣,3,常時,自動成功,自身,なし,0,《魔獣化》中、あなたの【肉体】と【技術】のA値を+[Lv×2]し、「種別：魔法」以外の武器およびアーツを使用した射撃攻撃のダメージを+1D6する。あなたの《魔獣化》のコストは+Lvされ、常に「種別：機械」を得る。,怪人
AD,怪人,怪人態：マリン,選択、魔獣,3,常時,自動成功,自身,なし,0,《魔獣化》中、あなたの【行動値】に+[Lv×2+1]し、あなたはGMが水中の影響と判断した不利な効果を受けない。あなたの《魔獣化》のコストは+Lvされ、常に「種別：亜人」または「種別：機械」を得る。,怪人
AD,怪人,怪人態：ミスティック,選択、魔獣,3,常時,自動成功,自身,なし,0,《魔獣化》中、あなたの【白兵値】【射撃値】を+[Lv+1]する。あなたの《魔獣化》のコストは+Lvされ、常に「種別：神聖」または「種別：来訪」を得る。,怪人
AD,怪人,クロークダイブ,魔獣,1,マイナー,自動成功,自身,なし,2,あなたは隠密状態となる。敵とエンゲージ中でも隠密状態になれる。《怪人態：マリン》の取得時、この隠密状態の間に行なう判定の達成値を+2、攻撃のダメージを+1D6する。,怪人
AD,怪人,スパークブラスト,魔獣、攻撃,3,メジャー,【射撃】,単体,シーン,2,対象に射撃攻撃を行なう。その攻撃のダメージに+(Lv)D6する。《怪人態：エネルギー》か《怪人態：エンシェント》の取得時、「対象：範囲」となる。,怪人
AD,怪人,ソニッククラッシュ,魔獣、攻撃,1,メジャー,【白兵】,範囲,至近,3,あなたは通常移動を行ない、その後に白兵攻撃を行なう。その攻撃のダメージに+【肉体B】する。《怪人態：バイオ》の取得時、さらにその命中判定に+2。,怪人
AD,怪人,ダークスペースに引きずりこめ！,魔獣,3,マイナー,自動成功,自身,なし,3,あなたは即座に《アレナ展開》を使用する。その効果中、アレナ内で怪人のルーツを持つキャラクターおよび名称に「怪人」を含むエネミーが行なう攻撃のダメージに+(Lv)D6する。,怪人
AD,怪人,テリブルショック,魔獣、攻撃、魔法,3,メジャー,【感情】,範囲,シーン,3,対象に[【感情】+(Lv+1)D6]点のダメージを与える特殊攻撃を行なう。対象は【感情】でドッジを行なう。1点でもダメージを与えた場合、さらに放心を与える。《怪人態：イメージ》または《怪人態：ミスティック》の取得時、「対象：Lv+1体」に変更可能。,怪人
AD,怪人,バインドアーム,魔獣、攻撃,1,メジャー,【白兵】,単体,シーン,3,対象に素手による白兵攻撃を行なう。1点でもダメージを与えた場合、さらに束縛を与える。《怪人態：マシーン》の取得時、命中した対象を同じエンゲージまで強制的に移動させてもよい。,怪人
