,ルーツ,アーツ名,種別,最大Lv,タイミング,判定値,対象,射程,コスト,効果,ルーツ
人間たちから「悪」の存在として恐れられてきたものたちをあらわすブラッド。,,,,,,,,,,,
,デーモン,悪魔の翼,魔獣,1,常時,自動成功,自身,なし,0,《魔獣化》の効果中、あなたは飛行状態となり、白兵攻撃と射撃攻撃のダメージに+2する。この飛行状態を解除したり、再び飛行状態になるにはマイナーアクションを使用する。あなたの《魔獣化》コストは+2される。,ﾃﾞｰﾓﾝ
,デーモン,偽りの仮面,なし,1,マイナー,自動成功,自身,なし,2,そのシーンの間、あなたの外見を自由に変更する。見破る場合、【社会】とあなたの【感情】で対決する。この効果はいつでも解除できる。あなたが《簒奪者》を取得している場合、使用したメインプロセス終了時まで隠密状態となる。このとき、敵とエンゲージしていても隠密状態になれる。,ﾃﾞｰﾓﾝ
,デーモン,愚者の黄金,なし,1,判定直前,自動成功,単体,シーン,2,対象が行なう【社会】による判定の達成値に+2する。購入判定の場合、この修正は+4となる。,ﾃﾞｰﾓﾝ
,デーモン,災厄者,攻撃、魔法,3,メジャー,【感情】,範囲,シーン,3,対象に[【感情】+(Lv+1)D6]点のダメージを与える特殊攻撃。対象は【感情】でドッジを行なう。1点でもダメージを与えた場合、さらに狼狽を与える。,ﾃﾞｰﾓﾝ
,デーモン,殺戮者,魔獣,1,常時,自動成功,自身,なし,0,《魔獣化》の効果中、あなたが行なうDRに+1D6する。あなたの《魔獣化》コストは+2される。,ﾃﾞｰﾓﾝ
,デーモン,殺戮の宴,魔獣,1,マイナー,自動成功,自身,なし,3,そのシーンの間、あなたが行なう命中判定の達成値に+2する。あなたが《殺戮者》を取得している場合、さらに白兵攻撃と射撃攻撃のダメージに+【感情B】する。,ﾃﾞｰﾓﾝ
,デーモン,簒奪者,なし,1,判定直後,自動成功,単体,シーン,3,対象が行なった判定の達成値を-3する。1ラウンドに1回まで使用できる。,ﾃﾞｰﾓﾝ
,デーモン,地獄落とし,攻撃、魔法,3,メジャー,【社会】,単体,シーン,3,対象に[【感情】+(Lv)D6]のダメージを与える特殊攻撃を行なう。対象は【感情】でドッジを行なう。1点でもダメージを与えた場合、さらに重圧と束縛を与える、あなたが《災厄者》を取得している場合、ダメージにさらに+1D6する。,ﾃﾞｰﾓﾝ
,デーモン,瘴気の魔爪,魔獣,3,常時,自動成功,自身,なし,0,《魔獣化》の効果中、あなたの素手のダメージを[【感情】+(Lv)+1D6]、G値を[Lv+3]に変更し、素手による攻撃で1点でもダメージを与えた場合、さらに邪毒(Lv)を与える。あなたの《魔獣化》コストは+2される。,ﾃﾞｰﾓﾝ
