,ルーツ,アーツ名,種別,最大Lv,タイミング,判定値,対象,射程,コスト,効果,ルーツ
ただの人間でありながら、知恵と技術で魔物に立ち向かうものたちをあらわすブラッド。,,,,,,,,,,,
,ハーミット,捨て身の仕掛け,攻撃,5,メジャー,【社会】,範囲,シーン,3,対象に[【社会】+(Lv)D6]点のダメージを与える特殊攻撃を行なう。対象は【社会】でドッジを行なう。対象すべてがリアクションに成功した場合、あなたは【FP】を10点失い、狼狽を受ける。,ハーミット
,ハーミット,ソーシャルサポート,なし,1,判定直前,自動成功,自身,なし,1,あなたは3点以下の任意の財産点を消費する。あなたが行なう判定の達成値に+[消費した財産点]する。,ﾊｰﾐｯﾄ
,ハーミット,特異血統,なし,1,常時,自動成功,自身,なし,3,あなたの【基本能力値】からふたつ選択する。片方を+1し、もう片方を-1する。プライマリブラッドがハーミットのキャラクターのみ取得できる。,ﾊｰﾐｯﾄ
,ハーミット,バトルロジック,攻撃,1,メジャー,【白兵】【射撃】,単体,武器,1,対象に白兵攻撃か射撃攻撃を行なう。この攻撃のダメージに+【技術B】する。,ﾊｰﾐｯﾄ
,ハーミット,不断の努力,なし,1,効果参照,自動成功,自身,なし,1,取得時に「種別：攻撃」「種別：防御」「種別：回復」からひとつ選択する。選択した種別のアーツと同時に使用する、その効果で与えるダメージ、軽減するダメージ、回復する【FP】をすべて+1D6する。,ﾊｰﾐｯﾄ
,ハーミット,変容せし魂,回復,1,効果参照,自動成功,自身,なし,2,あなたが重圧、放心、狼狽、翻弄を受けた時に使用する。そのBSひとつを回復する。このアーツは重圧を受けていても使用できる。,ﾊｰﾐｯﾄ
,ハーミット,覚悟のまなざし,純血,1,セットアップ,自動成功,自身,なし,4,クライマックスフェイズのみ使用できる。そのシーンの間、あなたが行なうメジャーアクションの判定のクリティカル値を-1する。,ﾊｰﾐｯﾄ
,ハーミット,人間の底力,純血、支援,1,DR直前,自動成功,単体,シーン,愛,対象が行なうDRに+[あなたが持つ絆の数×5]する。解放状態でのみ使用でき、1シナリオに1回まで使用できる。,ﾊｰﾐｯﾄ
DO,ハーミット,愛という名の奇跡,なし,3,効果参照,自動成功,自身,なし,2,あなたがアーツのコストとして罪を支払う際に使用する。そのコストを罪ではなく同点の愛で支払える。1シナリオにLv回まで使用できる。,ﾊｰﾐｯﾄ
DO,ハーミット,生きるべき理由,なし,1,解放状態,自動成功,自身,なし,3,あなたが解放状態となった直後に使用する。そのシーンの間、あなたが行なうあらゆる判定の達成値に+2する。あなたが《還るべき場所》か《日常に背を向けて》の効果を受けている場合、達成値への修正は+3となる。,ﾊｰﾐｯﾄ
DO,ハーミット,ウエポンマスタリー,ア,1,常時,自動成功,自身,なし,2,常備化している武器か乗り物、またはあなたが取得している、使用することで武器か乗り物を装備するアーツひとつを選択する。選択した武器か乗り物(あるいはそのアーツに記述された武器か乗り物)の命中修正に+1、攻撃力とG値に+2する。プリプレイに選択し直してもよい。,ﾊｰﾐｯﾄ
DO,ハーミット,己を知る者,なし,3,常時,自動成功,自身,なし,2,あなたの【行動値】を+[Lv×3+2]し、【FP】最大値を-10(最低1)する。,ﾊｰﾐｯﾄ
DO,ハーミット,還るべき場所,なし,1,効果参照,自動成功,自身,なし,3,いつでも使用できる。あなたが持つ絆からひとつ選択すること。そのシナリオ中、あなたが攻撃から受けるダメージを-【社会B】する。選択した絆がエゴになっている間、この効果は失われる。1シナリオに1回まで使用できる。,ﾊｰﾐｯﾄ
DO,ハーミット,日常に背を向けて,なし,1,常時,自動成功,自身,なし,2,あなたが《還るべき場所》の効果で選択した絆がエゴになっている間、あなたが行なう攻撃のダメージを+5する。,ﾊｰﾐｯﾄ
