,ルーツ,アーツ名,種別,最大Lv,タイミング,判定値,対象,射程,コスト,効果,ルーツ
人間たちが作り出した物語の登場人物が具現化したものたちをあらわすブラッド。魔物の中でも誕生過程が謎に包まれている。,,,,,,,,,,,
,レジェンド,彼の出番だ,なし,1,メジャー,自動成功,単体,シーン,2,あなた以外の対象を未行動にする。このアーツは、いかなる効果でも対象を単体から変更できない。,ﾚｼﾞｪﾝﾄﾞ
,レジェンド,伝説の相棒,なし,5,判定直前,自動成功,単体,シーン,1,対象が行なう判定の達成値を+2する。1シナリオに[Lv+2]回まで使用できる。,ﾚｼﾞｪﾝﾄﾞ
,レジェンド,伝説の一撃,攻撃,1,メジャー,【白兵】【射撃】,単体,武器,6,対象に白兵攻撃か射撃攻撃を行なう。この攻撃のダメージに+【社会】する。1シーンに1回まで使用できる。,ﾚｼﾞｪﾝﾄﾞ
,レジェンド,伝説のコスチューム,魔獣,1,常時,自動成功,自身,なし,0,《魔獣化》の効果中、あなたが行なうあらゆる判定の達成値に+1する。《魔獣化》の使用と同時にあなたは任意の数のアイテムを即座に装備してもよい。あなたの《魔獣化》のコストは+2される。,ﾚｼﾞｪﾝﾄﾞ
,レジェンド,伝説の武具,ア,1,常時,自動成功,自身,なし,2,あなたが常備化しているアイテムからひとつ選択する。それが武器なら攻撃力、防具ならA値を+【社会B】し、乗り物なら行動値修正を+[【社会B】+3]する。プリプレイに選択し直してもよい。,ﾚｼﾞｪﾝﾄﾞ
,レジェンド,伝説の魔力,なし,1,効果参照,自動成功,自身,なし,5,「種別：魔法」のアーツまたは武器と同時に使用する。そのアーツまたは攻撃の対象を3体に変更する。1シーンに1回まで使用できる。,ﾚｼﾞｪﾝﾄﾞ
,レジェンド,名セリフ,なし,1,マイナー,自動成功,自身,なし,2,そのメインプロセスにあなたが行なう判定の達成値を+2する。,ﾚｼﾞｪﾝﾄﾞ
,レジェンド,伝説ふたたび,純血、回復,1,効果参照,自動成功,自身,なし,罪,あなたの【FP】が0になった直後に使用する。かりそめの死や真の死になる代わりに、あなたの【FP】を[あなたが持つ絆の数×1D6]点まで回復する。解放状態でも【FP】を回復できる。1シナリオに1回まで使用できる。,ﾚｼﾞｪﾝﾄﾞ
DO,レジェンド,一世一代,なし,3,効果参照,自動成功,自身,なし,4,《彼の出番だ》と同時に使用する。その対象が次に行なうDRに+[あなたのもっとも高い【基本能力値】]する。1シーンにLv回まで使用でき、その対象が1回でも攻撃を行なうか、シーン終了まで持続する。,ﾚｼﾞｪﾝﾄﾞ
DO,レジェンド,クリフハンガー,なし,3,効果参照,自動成功,自身,なし,3,あなたの【FP】が最大値の半分以下(端数切捨て)になった時に使用する。そのシーンの間、あなたが行なう判定の達成値に+[Lv+1]する。,ﾚｼﾞｪﾝﾄﾞ
DO,レジェンド,劇的大成功,なし,3,効果参照,自動成功,単体,シーン,2,対象が何らかの判定でクリティカルした直後に使用する。その達成値をさらに+5し、攻撃の命中判定の場合、その攻撃のDRも+(Lv+1)D6する。,ﾚｼﾞｪﾝﾄﾞ
DO,レジェンド,主役は君だ,なし,1,判定直前,自動成功,単体,シーン,3,対象が行なう判定のクリティカル値を-1する。ただし、クリティカル値は8以下にはならない。対象がシーンプレイヤーの場合、さらにその判定の達成値を+2する。1ラウンドに1回まで使用できる。,ﾚｼﾞｪﾝﾄﾞ
DO,レジェンド,勝利へのフラグ,なし,1,メジャー,自動成功,自身,なし,4,そのシナリオの間、あなたの【基本能力値】ひとつを+2する(【FP】は変化しない)。使用後、あなたは【FP】を1D6点失う。1シナリオに1回まで使用できる。,ﾚｼﾞｪﾝﾄﾞ
DO,レジェンド,伝説的名声,魔獣,3,マイナー,自動成功,シーン,シーン,4,対象は狼狽を受ける。対象がエキストラの場合、あなたの頼みひとつを聞いてもらうことができる。詳細はGMが判断すること。1シナリオにLv回まで使用できる。,ﾚｼﾞｪﾝﾄﾞ
DO,レジェンド,伝説のジンクス,なし,3,常時,自動成功,自身,なし,2,《名セリフ》を使用したメインプロセス中、あなたが使用するアーツの効果を+[Lv×2+2]する。,ﾚｼﾞｪﾝﾄﾞ
DO,レジェンド,彼方からの声援,純血,1,効果参照,自動成功,単体,シーン,愛,いつでも使用できる。対象が取得しているアーツのひとつの使用回数を1回分回復する。1シナリオに1回まで使用でき、このアーツはいかなる効果でも対象を単体から変更できない。,ﾚｼﾞｪﾝﾄﾞ
御伽話の住人 - フィクションの登場人物が具現化したものたちをあらわすルーツ。,,,,,,,,,,,
