,ルーツ,アーツ名,種別,最大Lv,タイミング,判定値,対象,射程,コスト,効果,ルーツ
いわゆる吸血鬼をあらわすブラッド。,,,,,,,,,,,
,ヴァンパイア,エナジードレイン,攻撃・回復,5,メジャー,白兵,単体,武器,2,対象に白兵攻撃を行なう。この攻撃で1点でもダメージを与えた場合、あなたのFPを【感情B】+(LV)D６点回復する,ｳﾞｧﾝﾊﾟｲｱ
,ヴァンパイア,高速再生,回復・魔獣,3,イニシアチブ,自動,自身,なし,2,あなたのFPを【肉体B】+(LV)D6回復し、BSをひとつ回復する。1ラウンドに1回まで使用できる。,ｳﾞｧﾝﾊﾟｲｱ
,ヴァンパイア,鮮血の宴,魔獣,1,マイナー,自動,自身,なし,3,そのメインプロセスにあなたが行なう攻撃を「対象：範囲」に変更する。,ｳﾞｧﾝﾊﾟｲｱ
,ヴァンパイア,血の契約,なし,1,メジャー,単体,単体,至近,4,あなたの取得している「種別：自動」「種別：純血」「タイミング：常時」を除くヴァンパイアのアーツから一つ選択する。そのシナリオの間、対象はそのアーツを同じLVで取得し、あなたはそのアーツを使用できなくなる。このアーツはいかなる効果でも対象を単体から変更できない、シナリオ１回,ｳﾞｧﾝﾊﾟｲｱ
,ヴァンパイア,とらえがたき闇,魔獣,3,リアクション,肉体,自身,なし,2,あなたはドッジを【肉体】で行なう、ただし、判定値が【加護】の属性には使用できない、1ラウンドにLV回まで使用できる,ｳﾞｧﾝﾊﾟｲｱ
,ヴァンパイア,魅了の瞳,攻撃・魔法,1,メジャー,感情,単体,シーン,2,対象に、ダメージロールの代わりに束縛を与える特殊攻撃を行なう。対象は【感情】でドッジを行なう。対象がエキストラの場合、あなたの支配下となる。詳細はGMが決定すること。,ｳﾞｧﾝﾊﾟｲｱ
,ヴァンパイア,暴虐の君主,攻撃・魔獣,1,メジャー,白兵・射撃,単体,武器,4,対象に白兵攻撃か射撃攻撃を行なう。この攻撃のダメージに+【肉体B】し、1点でもダメージを与えた場合、さらに狼狽を与える。,ｳﾞｧﾝﾊﾟｲｱ
,ヴァンパイア,不死存在,純血・回復,1,効果参照,自動成功,自身,なし,5,いつでも使用でき、かりそめの死とBSをすべて回復し、かりそめの死や重圧をうけていても使用できる。【FP】を完全に回復する。開放状態でも【FP】を回復でき、1シナリオ1回まで使用できる,ｳﾞｧﾝﾊﾟｲｱ
DE,ヴァンパイア,ウルフフォーム,魔獣,1,イニシアチブ,自動成功,自身,なし,3,あなたの素手ダメージに+4、素手による命中判定の達成値に+2する。また、素手と「種別：魔法」以外の武器、および防具と乗り物を装備できず、装備していた場合は所持品となる。この効果は《魔獣化》が解除されるか、マイナーアクションで解除するまで持続する。,ｳﾞｧﾝﾊﾟｲｱ
DE,ヴァンパイア,血の刻印,なし,1,セットアップ,自動成功,単体,シーン,3,対象はそのシナリオの間、あなたをアクション側とするリアクションの達成値が-2される。効果中は対象が隠密状態でも、あなたは対象をアクションの対象にできる。1シナリオに1回まで使用できる。,ｳﾞｧﾝﾊﾟｲｱ
