,ルーツ,アーツ名,種別,最大Lv,タイミング,判定値,対象,射程,コスト,効果,ルーツ
サプリメント『ディケイド』で追加されたブラッド。「虚無」の眷属たちをあらわすブラッド。,,,,,,,,,,,
死神 - いわゆる死神をあらわすルーツ。,,,,,,,,,,,
DE,死神,ヴォイドオーラ,選択、魔獣,1,マイナー,自動成功,自身,なし,4,そのメインプロセスの間、あなたが行なう白兵攻撃と射撃攻撃は属性のないダメージとなり、攻撃の対象のA値を0とする。,死神
DE,死神,虚無の血肉,選択、魔獣,5,常時,自動成功,自身,なし,4,《魔獣化》の効果中、あなたのA値を+[Lv×2]し、あなたはDRの際に攻撃の属性に関わらず【加護】属性のA値を使用して受けるダメージを軽減できる(A値を0として扱う攻撃に対しては効果がない),死神
DE,死神,イヴェントホライゾン,防御,1,DR直後,自動成功,範囲,シーン,3,対象が受けるダメージを-[【加護B】+1D6]する。あなたが出現させた”穴”と同じエンゲージに対象がいる場合、効果をさらに+2D6する。1ラウンドに1回使用できる。,死神
DE,死神,影化,なし,1,マイナー,自動成功,自身,なし,2,あなたは隠密状態となる。敵とエンゲージ中でも隠密状態になれる。この隠密状態は、あなたが通常移動や離脱移動を行なっても解除されない。,死神
DE,死神,影斬り,魔獣,5,メジャー,【白兵】,単体,武器,2,対象に白兵攻撃を行なう。この攻撃に対しては、対象のG値を-[Lv×3](最低0)してダメージを算出する。,死神
DE,死神,影のように,魔獣,1,リアクション,【加護】,自身,なし,3,あなたはドッジを【加護】で行ない、対決に勝利した場合、即座に通常移動か離脱移動が行なえる。1ラウンドに1回まで使用できる。,死神
DE,死神,影反転,なし,1,効果参照,自動成功,自身,なし,4,カバーリングと同時に使用する。そのカバーリングを「射程：シーン」に変更する。この時、あなたはカバーリングを行なっても行動済みにならず、行動済みでもカバーリングを行なえる。1シーンに1回まで使用できる。,死神
DE,死神,影踏み,攻撃,3,メジャー,【射撃】,単体,武器,2,対象に射撃攻撃を行なう。この攻撃の命中判定の達成値に+[Lv×2]し、対象に1点でもダメージを与えた場合、さらに束縛を与える。,死神
